size,operation,time_milliseconds
10,put,3
10,get,0
10,containsKey,1
10,erase,0
10,put,0
10,get,0
10,containsKey,0
10,erase,0
10,put,0
10,get,0
10,containsKey,0
10,erase,0
10,put,0
10,get,0
10,containsKey,0
10,erase,0
10,put,0
10,get,0
10,containsKey,0
10,erase,0
100,put,1
100,get,0
100,containsKey,0
100,erase,0
100,put,0
100,get,0
100,containsKey,0
100,erase,0
100,put,1
100,get,0
100,containsKey,1
100,erase,0
100,put,1
100,get,0
100,containsKey,0
100,erase,0
100,put,1
100,get,0
100,containsKey,0
100,erase,1
1000,put,1
1000,get,0
1000,containsKey,1
1000,erase,0
1000,put,2
1000,get,0
1000,containsKey,0
1000,erase,0
1000,put,0
1000,get,0
1000,containsKey,1
1000,erase,1
1000,put,2
1000,get,0
1000,containsKey,0
1000,erase,1
1000,put,0
1000,get,0
1000,containsKey,0
1000,erase,0
10000,put,8
10000,get,5
10000,containsKey,6
10000,erase,5
10000,put,3
10000,get,3
10000,containsKey,0
10000,erase,0
10000,put,0
10000,get,0
10000,containsKey,15
10000,erase,0
10000,put,5
10000,get,3
10000,containsKey,4
10000,erase,4
10000,put,0
10000,get,0
10000,containsKey,0
10000,erase,15
100000,put,46
100000,get,46
100000,containsKey,31
100000,erase,46
100000,put,38
100000,get,52
100000,containsKey,36
100000,erase,38
100000,put,40
100000,get,48
100000,containsKey,36
100000,erase,40
100000,put,40
100000,get,37
100000,containsKey,35
100000,erase,38
100000,put,64
100000,get,47
100000,containsKey,43
100000,erase,43
1000000,put,640
1000000,get,613
1000000,containsKey,540
1000000,erase,507
1000000,put,566
1000000,get,502
1000000,containsKey,501
1000000,erase,511
1000000,put,723
1000000,get,503
1000000,containsKey,509
1000000,erase,497
1000000,put,725
1000000,get,526
1000000,containsKey,502
1000000,erase,501
1000000,put,590
1000000,get,502
1000000,containsKey,497
1000000,erase,523
